address,op_total
0x00000000051CBcE3fD04148CcE2c0adc7c651829,92.24738453226875
0x0000000006ae4b908781507e70A305A7EC6D0DA5,150.0
0x0000000188e3604489698eA73DE28524F2beA6C6,109.81166326695
0x00000002b7D3b2DA5CE175347e2a7d265D740926,63.678686624150004
0x00000002D88f9b3f4eB303564817fff4AdcdE46f,56.40331232341625
0x000000071315588B34Fc29d63B7494b614e6FA85,121.30667310477376
0x0000000f65D503603782d94E78E30C6d05955741,106.66579508232124
0x0000001089167600c25258Da29d2e2c857ec1689,814.3886915906626
0x0000005D3584925BFE774d112B623469533d1655,150.0
0x0000006094141CD5d88b13aA8845DC34E9b1c3A0,84.96956750063814
0x0000006D14cE3CF81449c3BA1f26108DF0A4de8b,84.49904669704688
0x0000007c28eAE82765E597c082E4AD2dFC71725f,54.45499135630875
0x0000009867C140dE521ee9799b1E99d48A14D4f7,150.0
0x000000b93B47284ef3d02cbBFf342FeE7916Ecf9,150.0
0x000000dF34E2422bb7744BC93Ab7594d371E2D4E,106.546037551045
0x000000e28fAA823d5B53ff6C2922c28335840375,600.0
0x000000fedB32Ad13a28e737621924278d367992D,150.0
0x0000022b34B7981427BbD34E9716C543eaB7EB18,126.2476665174625
0x0000024BC043e565527f26318f7bb5DBae457a36,71.56634181992062
0x000002FbEC6E2e3BEEf52F143956D735BdA28030,52.264806743998754
0x0000040f1111c5C3d2037940658Ee770BB37e0a2,72.8068089175375
0x00000602C2b54FAB4f6948bd24bDB7C5431e3475,73.6537014097625
0x000006eee6e39015cB523AeBDD4d0B1855aBa682,222.81196977068439
0x0000084397B6d03d925D3dEeddeA90EdB4F073B4,78.6993373840875
0x000009209E16dDF2e0abE52Fc2301f0f3c9A7D50,87.81943371704875
0x000009DF76cD34aA2133900BFF2b488d2c2fA4B3,53.5382865002075
0x00000b88A4C191042FB6E51f9276c216f5097BB2,76.41997624611125
0x00000e296e2B54f589D999F3AC209a17117D5664,92.28944710607813
0x000042ae63a8018cf2aeaD44C7eAd5927D3E0000,93.22217272309125
0x0000619b2b909a6a422c18eb804b92f798370705,150.0
0x000062Dcd53d5374e7EeDf1A46D04Bd0441065C0,68.16314429559125
0x00008e83088817A82b7b3A00aB4a8f6597980000,91.83926105348125
0x0000933f098aB641d0621B13B644b57F99E043aE,150.0
0x000095E6E590E466cAe2b0d29e9d7cad5552B6EA,50.630297567426254
0x00009897c09f22964D9BE678664CCe7C9a467C0F,150.0
0x0000CE08fa224696A819877070BF378e8B131ACF,600.0
0x0000D63D04e3E9C6C1391D33156377098d91D009,64.93796063702
0x0000de0028b400E5EA4F988859852C003600eADE,150.0
0x000140aC6B88109462a14e8A310CA858795E141F,150.0
0x00024eACb7936b04ba5E07eDDFd7Fe701E7c66e0,108.77026236274126
0x00030f4B6e66c1e83D36D35be888534Dad275BD0,66.22532266560874
0x00043c4E124fd7AA1B1E5E5FFD876AE8eD435488,64.25552052393
0x000488429Af0fe9B62F61e3F33638d3970a3CeC9,57.13062185978812
0x000506cC4121baFf43A0D27F92358610AFaA46b0,70.162039663435
0x00057DF318F342FFF187948B85661B0D93F8d45E,81.89076130169624
0x00060B9250B225F9ADFc0b02622C9c0244444B34,101.83397823527376
0x000683A18DB9cCCe193b63C5173bAdDE2142abfb,458.60236130455314
